Burlington - Stowe, 3*, Williston, Courtyard, 22.0%
Cancun, 4*, Downtown &amp; Beaches, Bel Air Collection, 100.0%
Burlington - Stowe, 4*, Essex Junction, Essex Resort and Spa, 34.1%
Burlington - Stowe, 4*, Essex Junction, Inn at Essex Junction, 65.9%
Calgary, 3*, Calgary South, Glenmore Inn and Convention Centre, 100.0%
Burlington - Stowe, 3*, Waterbury-Stowe, Golden Eagle Resort, 100.0%
Calgary, 3*, Airport, Holiday Inn, 9.6%
Calgary, 3*, Airport, Radisson, 90.4%
Burlington - Stowe, 2*, Colchester, Quality Inn, 42.6%
Burlington - Stowe, 2*, Colchester, Hampton Inn, 57.4%
Burlington - Stowe, 3*, Burlington, Doubletree, 7.4%
Burlington - Stowe, 3*, Burlington, Courtyard, 12.4%
Burlington - Stowe, 3*, Burlington, Sheraton, 28.9%
Burlington - Stowe, 3*, Burlington, Holiday Inn, 32.5%
Burlington - Stowe, 3*, Burlington, Wyndham, 7.2%
Burlington - Stowe, 3*, Burlington, Residence Inn, 11.6%
Burlington - Stowe, 2*, Burlington, Fairfield Inn, 100.0%
Burlington - Stowe, 2.5*, Burlington, Holiday Inn, 16.0%
Burlington - Stowe, 2.5*, Burlington, La Quinta, 52.5%
Burlington - Stowe, 2.5*, Burlington, Courtyard, 31.6%
Calgary, 2.5*, Airport, Acclaim, 100.0%
Calgary, 1*, Airport, Travelodge, 100.0%
Cancun, 2.5*, Downtown &amp; Beaches, Hotel Cozumel, 100.0%
Buffalo, 2.5*, Airport BUF, Holiday Inn, 23.8%
Buffalo, 2.5*, Airport BUF, Days Inn, 76.2%
Buffalo, 2*, Airport BUF, Days Inn, 32.9%
Buffalo, 2*, Airport BUF, Quality Inn, 33.8%
Buffalo, 2*, Airport BUF, Holiday Inn, 33.3%
Yosemite, 2*, Oakhurst, Comfort Inn, 11.3%
Yosemite, 2*, Oakhurst, Shilo Inn, 88.7%
Yellowstone Park-Bozeman, 2*, West Yellowstone, Days Inn, 100.0%
Yosemite, 3*, Mammoth Lakes, Mammoth Lakes Inn, 100.0%
Worcester, 3*, Sturbridge, Sturbridge Host Hotel And Conference Center, 100.0%
Yosemite, 1*, Mammoth Lakes, Travelodge, 100.0%
Worcester, 3*, Worcester, Residence Inn, 17.6%
Worcester, 3*, Worcester, Crowne Plaza, 25.9%
Worcester, 3*, Worcester, Courtyard, 56.5%
Yosemite, 2*, Mariposa, Comfort Inn, 100.0%
Worcester, 3*, Auburn, Crowne Plaza, 100.0%
Yellowstone Park-Bozeman, 3*, Bozeman, Holiday Inn, 100.0%
Worcester, 2.5*, Worcester, Courtyard, 21.4%
Worcester, 2.5*, Worcester, Residence Inn, 78.6%
Yellowstone Park-Bozeman, 2.5*, Bozeman, Holiday Inn, 50.8%
Yellowstone Park-Bozeman, 2.5*, Bozeman, La Quinta, 49.2%
Worcester, 2*, Worcester, Quality Inn, 100.0%
Worcester, 2*, Auburn, La Quinta, 100.0%
Winston Salem, 3*, West, Marriot, 100.0%
Winston Salem, 3*, North, Holiday Inn, 100.0%
Winnipeg, 3*, South, Four Points, 46.2%
Winnipeg, 3*, South, Holiday Inn, 53.8%
Winnipeg, 2*, Airport, Comfort Inn, 100.0%
Wilmington, 3.5*, Wlmngtn-Brandywine, Doubletree, 63.1%
Wilmington, 3.5*, Wlmngtn-Brandywine, Sheraton, 36.9%
Wilmington, 3*, Wrightsville Beach, Holiday Inn, 26.1%
Wilmington, 3*, Wrightsville Beach, Blockade Runner, 29.0%
Wilmington, 3*, Wrightsville Beach, Courtyard, 44.9%
Wilmington, 3*, Newark-Christiana, Courtyard, 28.3%
Wilmington, 3*, Newark-Christiana, Residence Inn, 6.3%
Wilmington, 3*, Newark-Christiana, Hilton, 65.4%
Wilmington, 3*, East, Marriot, 100.0%
Williamsburg, 3*, Colonial-Busch Gardens, Marriot, 27.7%
Williamsburg, 3*, Colonial-Busch Gardens, Courtyard, 33.9%
Williamsburg, 3*, Colonial-Busch Gardens, Crowne Plaza, 38.4%
White Plains, 3*, Tarrytown-Elmsford, Courtyard, 100.0%
Williamsburg, 2.5*, Colonial-Busch Gardens, Clarion Hotel, 100.0%
Westchester County, 3.5*, Rye-White Plains, Renaissance, 45.7%
Westchester County, 3.5*, Rye-White Plains, Hilton, 54.3%
Westborough-Marlborough, 3*, Westborough, Courtyard, 100.0%
Wausau, 3*, Rothschield, Holiday Inn, 100.0%
Washington DC, 4*, White House - Downtown, St Gregory Hotel, 7.6%
Washington DC, 4*, White House - Downtown, Sofitel, 7.2%
Washington DC, 4*, White House - Downtown, Madison Loews, 1.7%
Washington DC, 4*, White House - Downtown, REJECTED. HELP !, 1.4%
Washington DC, 4*, White House - Downtown, Renaissance, 61.1%
Washington DC, 4*, White House - Downtown, Loews Madison, 1.1%
Washington DC, 4*, White House - Downtown, Hilton, 7.8%
Washington DC, 4*, White House - Downtown, Lowes, 1.9%
Washington DC, 4*, White House - Downtown, The Madison Loews, 2.0%
Washington DC, 4*, White House - Downtown, JW Marriot, 8.1%
Wenatchee-Yakima, 2*, Yakima, Clarion Hotel, 100.0%
Vienna, 4*, West, Renaissance, 82.3%
Vienna, 4*, West, Mercure Wien Europaplatz, 17.7%
Virginia Beach, 3*, Beach Area, Holiday Inn, 29.9%
Virginia Beach, 3*, Beach Area, Doubletree, 70.1%
Virginia Beach, 3.5*, Airport Norfolk ORF, Sheraton, 60.3%
Virginia Beach, 3.5*, Airport Norfolk ORF, Marriot, 39.7%
Virginia Beach, 3.5*, Portsmouth, Renaissance, 100.0%
Vienna, 5*, City Centre, Inter-Continental Vienna, 28.0%
Vienna, 5*, City Centre, Marriot, 40.6%
Vienna, 5*, City Centre, Hilton, 31.3%
Virginia Beach, 3.5*, Area, Sheraton, 100.0%
Vienna, 4*, City Centre, Le Meridien Vienna, 35.0%
Vienna, 4*, City Centre, Marriot, 43.1%
Vienna, 4*, City Centre, Mercure Wien Europaplatz, 21.9%
Virginia Beach, 3*, Area, Doubletree, 22.8%
Virginia Beach, 3*, Area, Courtyard, 47.2%
Virginia Beach, 3*, Area, Wyndham, 12.3%
Virginia Beach, 3*, Area, Holiday Inn, 10.9%
Virginia Beach, 3*, Area, Wydham Virginia Beach Oceanfront, 6.9%
Vienna, 4*, South, Renaissance, 100.0%
Virginia Beach, 2.5*, Area, Country Inn and Suites Oceanfront, 33.1%
Virginia Beach, 2.5*, Area, La Quinta, 66.9%
Washington DC, 2.5*, Suburbs-Northeast, Fairfield Inn, 100.0%
Washington DC, 2*, Suburbs-Northeast, Fairfield Inn, 100.0%
Virginia Beach, 2*, Area, La Quinta, 50.0%
Virginia Beach, 2*, Area, Fairfield Inn, 50.0%
Virginia Beach, 2.5*, Airport Norfolk ORF, Courtyard, 29.3%
Virginia Beach, 2.5*, Airport Norfolk ORF, Radisson, 70.7%
Virginia Beach, 3*, Airport Norfolk ORF, Holliday Inn Executive Center, 5.5%
Virginia Beach, 3*, Airport Norfolk ORF, Crowne Plaza, 26.6%
Virginia Beach, 3*, Airport Norfolk ORF, Holiday Inn, 10.7%
Virginia Beach, 3*, Airport Norfolk ORF, Courtyard, 15.0%
Virginia Beach, 3*, Airport Norfolk ORF, Hilton, 28.7%
Virginia Beach, 3*, Airport Norfolk ORF, Residence Inn, 13.5%
Virginia Beach, 3*, Portsmouth, Renaissance, 100.0%
Virginia Beach, 2*, Airport Norfolk ORF, La Quinta, 100.0%
Vienna, 3*, West, NH Wien, 100.0%
Washington DC, 3.5*, White House - Downtown, Doubletree, 35.1%
Washington DC, 3.5*, White House - Downtown, Westin, 20.8%
Washington DC, 3.5*, White House - Downtown, Crowne Plaza, 25.0%
Washington DC, 3.5*, White House - Downtown, Hotel Rouge, 19.1%
Washington DC, 2.5*, White House - Downtown, Residence Inn, 100.0%
Washington DC, 3*, White House - Downtown, Hilton, 9.4%
Washington DC, 3*, White House - Downtown, Courtyard, 12.3%
Washington DC, 3*, White House - Downtown, Club Quarters, 5.4%
Washington DC, 3*, White House - Downtown, Four Points, 18.8%
Washington DC, 3*, White House - Downtown, Holiday Inn, 13.5%
Washington DC, 3*, White House - Downtown, Hotel Helix, 15.9%
Washington DC, 3*, White House - Downtown, Doubletree, 5.3%
Washington DC, 3*, White House - Downtown, Residence Inn, 19.5%
Westborough-Marlborough, 2.5*, Westborough, Courtyard, 27.5%
Westborough-Marlborough, 2.5*, Westborough, Doubletree, 72.5%
Washington DC, 1*, White House - Downtown, The District Hotel, 100.0%
Wichita, 2*, Park City-Northeast, Candlewood Suites, 56.0%
Wichita, 2*, Park City-Northeast, Towneplace Suites, 44.0%
Westchester County, 3*, Rye-White Plains, Residence Inn, 10.7%
Westchester County, 3*, Rye-White Plains, Courtyard, 29.9%
Westchester County, 3*, Rye-White Plains, Crowne Plaza, 34.1%
Westchester County, 3*, Rye-White Plains, Renaissance, 5.8%
Westchester County, 3*, Rye-White Plains, Hilton, 19.5%
Westborough-Marlborough, 2*, Westborough, Extended StayAmerica, 100.0%
Virginia Beach, 3.5*, Chesapeake-Churchland-Suffolk, Marriot, 100.0%
Virginia Beach, 4*, Virginia Beach-Pembroke, Westin, 100.0%
Virginia Beach, 3*, Virginia Beach-Pembroke, Doubletree, 16.9%
Virginia Beach, 3*, Virginia Beach-Pembroke, Hilton, 17.6%
Virginia Beach, 3*, Virginia Beach-Pembroke, Crowne Plaza, 65.4%
Virginia Beach, 3*, Chesapeake-Churchland-Suffolk, Aloft, 72.3%
Virginia Beach, 3*, Chesapeake-Churchland-Suffolk, Courtyard, 27.7%
Virginia Beach, 2.5*, Chesapeake-Churchland-Suffolk, Courtyard, 21.1%
Virginia Beach, 2.5*, Chesapeake-Churchland-Suffolk, Hampton Inn, 54.5%
Virginia Beach, 2.5*, Chesapeake-Churchland-Suffolk, Springhill Suites, 24.4%
Washington DC, 4*, Geogetown-Foggy Bottom, Hilton, 4.3%
Washington DC, 4*, Geogetown-Foggy Bottom, Melrose Hotel, 6.9%
Washington DC, 4*, Geogetown-Foggy Bottom, Renaissance, 74.4%
